date,clones,unique
"2026-06-28",0,0
"2026-06-29",0,0
"2026-06-30",0,0
"2026-07-01",0,0
"2026-07-02",98,35
"2026-07-03",162,50
"2026-07-04",51,28
"2026-07-05",104,43
"2026-07-06",3,3
"2026-07-07",6,4
"2026-07-08",32,16
"2026-07-09",8,5
"2026-07-10",2,2
"2026-07-11",24,12
"2026-07-12",9,6
"2026-07-13",14,10
"2026-07-14",14,10
"2026-07-15",2,2
"2026-07-16",9,6
"2026-07-17",4,4
"2026-07-18",1,1
"2026-07-19",3,3
"2026-07-20",2,2
"2026-07-21",7,7
"2026-07-22",3,3
"2026-07-23",2,2
"2026-07-24",11,8
"2026-07-25",4,4
"2026-07-26",9,6
"2026-07-27",1,1
"2026-07-28",17,11
"2026-07-29",3,3
"2026-07-30",9,5
"2026-07-31",4,3
"2026-08-01",9,5
"2026-08-02",1,1
"2026-08-03",13,11
"2026-08-04",4,4
"2026-08-05",10,7
"2026-08-06",3,3
"2026-08-07",2,2
"2026-08-08",2,2
"2026-08-09",2,2
"2026-08-10",8,4
"2026-08-11",3,3
"2026-08-12",1,1
"2026-08-13",2,2
"2026-08-14",2,2
