date,stars,forks
"2026-07-12",2,0
"2026-07-13",4,0
"2026-07-14",3,0
"2026-07-15",3,0
"2026-07-16",3,0
"2026-07-17",3,0
"2026-07-18",3,0
"2026-07-19",4,0
"2026-07-20",4,0
"2026-07-21",4,0
"2026-07-22",4,0
"2026-07-23",4,0
"2026-07-24",4,0
"2026-07-25",4,0
"2026-07-26",4,0
"2026-07-27",4,0
"2026-07-28",4,0
"2026-07-29",4,0
"2026-07-30",4,0
"2026-07-31",4,0
"2026-08-01",4,0
"2026-08-02",4,0
"2026-08-03",4,0
"2026-08-04",5,0
"2026-08-05",5,0
"2026-08-06",5,0
"2026-08-07",5,0
"2026-08-08",5,0
"2026-08-09",5,0
