date,views,unique
"2026-06-28",0,0
"2026-06-29",0,0
"2026-06-30",0,0
"2026-07-01",0,0
"2026-07-02",0,0
"2026-07-03",0,0
"2026-07-04",1,1
"2026-07-05",14,5
"2026-07-06",0,0
"2026-07-07",4,3
"2026-07-08",4,2
"2026-07-09",1,1
"2026-07-10",2,2
"2026-07-11",7,2
"2026-07-12",26,10
"2026-07-13",23,10
"2026-07-14",9,6
"2026-07-15",1,1
"2026-07-16",1,1
"2026-07-17",5,3
"2026-07-18",0,0
"2026-07-19",0,0
"2026-07-20",2,1
"2026-07-21",3,1
"2026-07-22",1,1
"2026-07-23",7,6
"2026-07-24",0,0
"2026-07-25",12,3
"2026-07-26",10,9
"2026-07-27",2,2
"2026-07-28",6,1
"2026-07-29",3,3
"2026-07-30",4,2
"2026-07-31",2,1
"2026-08-01",10,2
"2026-08-02",0,0
"2026-08-03",13,7
"2026-08-04",0,0
"2026-08-05",3,2
"2026-08-06",2,2
"2026-08-07",1,1
"2026-08-08",5,3
"2026-08-09",0,0
"2026-08-10",10,3
"2026-08-11",5,2
"2026-08-12",3,3
"2026-08-13",5,3
